Body Type,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,CarbonEmission,Glass,Metal,Paper,Plastic,Airfryer,Grill,Microwave,Oven,Stove,Sex_male,Social Activity_often,Social Activity_sometimes,Energy efficiency_Sometimes,Energy efficiency_Yes
2,1,1,0,1,0,0.7770245622291019,3,-0.6576765438113765,2,-0.01236010057860512,-0.7232184725100869,0.06062053257097393,-1.496402195652269,2238,0,1,0,0,0,0,0,1,1,False,True,False,False,False
3,2,0,2,0,0,-0.8289472936808672,1,-0.7302508005245835,3,-0.5148032135300246,-0.44176670082963587,0.8770586816750016,-0.9467140871208866,1892,0,1,0,0,0,0,1,0,1,False,True,False,False,False
2,0,2,1,2,1,-0.49667725452708045,0,0.15905464367754876,0,-1.5196894394328635,0.26186272837149144,1.4893872935030223,-0.809292059988041,2595,0,1,0,0,0,0,1,1,0,True,False,False,True,False
2,0,3,1,0,0,-0.23363014019699932,1,-0.7067815135277753,1,-0.5148032135300246,1.1062180434128444,-1.3681462283610746,-0.6718700328551954,1074,1,1,1,1,1,1,1,0,0,True,False,True,True,False
3,2,1,0,2,3,1.275429620959782,4,2.320034377152888,2,-1.5196894394328635,-1.2861220158709887,-1.3681462283610746,-0.809292059988041,4743,0,0,1,0,0,0,0,1,0,False,True,False,False,True
2,2,0,1,1,0,-0.41360974473863377,3,-0.4959189965102985,2,-1.5196894394328635,1.3876698150932953,-0.4836715668317112,-0.3970259785895041,1647,1,1,1,0,0,0,1,1,1,True,False,True,True,False
0,3,0,1,2,5,-1.6319332216358517,1,1.202896316104818,1,-0.01236010057860512,-0.44176670082963587,-0.9599271538090607,0.977194292738952,1832,0,0,0,0,1,1,0,0,0,False,False,False,True,False
0,3,2,0,0,0,-1.5903994667416284,4,-0.7140028326037162,3,-0.5148032135300246,-1.0046702441905377,0.9450951941003373,0.42750618420756953,2322,1,0,1,1,0,0,1,0,1,False,False,True,False,False
2,0,1,1,1,0,0.36168701328686853,3,-0.2366736416840172,1,-0.5148032135300246,-1.2861220158709887,0.40080309469765213,0.42750618420756953,2494,1,0,0,0,1,1,1,0,0,True,False,False,False,True
0,1,1,1,1,0,-0.5382110094213038,1,-0.5746313744380552,3,-1.5196894394328635,-0.5824925866698614,-0.14348900470503298,0.8397722656061064,1178,1,0,0,0,1,1,1,0,0,False,True,False,True,False
1,2,2,1,1,0,-0.38592057480915154,0,-0.1698764402315631,3,-0.01236010057860512,-0.019589043308959476,0.12865704499630956,1.2520383470046432,1427,0,0,1,1,0,0,1,0,1,False,False,False,False,False
3,2,2,0,0,0,-0.8704810485750905,4,-0.7085868432967605,1,0.4900830123728144,-0.44176670082963587,-1.43618274078641,-1.0841361142537322,3226,0,0,0,0,0,0,1,1,1,True,False,False,True,False
0,0,3,0,0,0,-0.8289472936808672,1,-0.7002823263594283,2,-0.5148032135300246,0.8247662717323934,0.12865704499630956,-1.0841361142537322,1593,0,0,0,1,0,0,0,0,1,False,True,False,False,True
0,3,0,3,2,2,-0.8704810485750905,1,0.31106341022610645,2,0.9925261253242339,0.121136842531266,-0.6197445916823825,-0.25960395145665854,1732,1,1,0,1,1,1,1,1,1,False,False,True,True,False
3,1,0,2,1,0,-0.7043460289981972,1,-0.015340212006426017,0,0.9925261253242339,0.121136842531266,-0.14348900470503298,-0.5344480057223497,1743,0,1,1,1,0,0,0,1,1,True,True,False,False,False
2,2,0,3,1,0,0.7078016374053964,4,-0.48364275408119883,0,0.9925261253242339,-0.44176670082963587,-0.07545249227969734,0.42750618420756953,2101,1,1,1,1,0,0,0,1,1,False,False,False,False,False
1,1,2,3,0,0,0.6247341276169497,3,-0.7309729324321775,3,-0.01236010057860512,1.5283957009335207,1.1492047313763443,0.2900841570747239,2609,0,0,0,0,1,1,1,1,0,True,True,False,True,False
2,1,1,1,1,0,-0.9673931433282783,1,-0.39120986990915424,2,0.9925261253242339,-1.5675737875514397,-1.3001097159357389,1.389460374137489,1565,0,0,1,0,1,1,0,0,1,False,True,False,False,True
0,3,2,3,2,1,-0.6628122741039738,4,2.018544305732352,1,-1.0172463264814442,-0.8639443583503124,0.809022169249666,-0.3970259785895041,5272,0,0,0,0,0,0,0,0,1,True,True,False,True,False
1,0,2,1,0,0,1.5800104901840866,0,-0.7150860304651074,0,-0.01236010057860512,0.40258861421171693,-0.21152551713036863,-0.809292059988041,1220,1,1,1,0,0,0,0,1,1,False,True,False,False,False
1,3,3,3,2,4,1.4969429803956398,1,0.07420414453524218,2,0.9925261253242339,-1.708299673391665,-1.1640366910850675,-0.9467140871208866,1300,1,1,0,1,1,1,0,1,0,True,True,False,False,False
3,1,0,1,1,0,-1.4519536170942173,1,-0.08213741345888012,2,-1.5196894394328635,-0.8639443583503124,-1.5042192532117458,-0.6718700328551954,1024,0,1,0,0,0,0,1,1,1,False,False,False,False,False
2,0,3,1,0,0,-0.8843256335398316,0,-0.7028097880360077,0,-0.5148032135300246,0.26186272837149144,-1.43618274078641,-1.221558141386578,706,1,1,1,1,1,1,1,1,1,True,False,True,True,False
3,2,1,0,2,3,-0.12287346047907041,3,-0.5630772639165497,0,-0.01236010057860512,0.6840403858921679,-0.07545249227969734,1.1146163198717975,2582,1,0,1,0,0,0,1,0,0,True,True,False,False,True
2,3,1,0,2,3,-1.548865711847405,4,1.3379349828249145,1,-1.5196894394328635,-1.0046702441905377,-0.3475985419810399,1.1146163198717975,4284,0,1,1,0,1,1,0,0,0,True,False,True,False,True
3,1,0,3,0,0,-1.1058389929756893,1,-0.7017265901746166,1,0.9925261253242339,0.6840403858921679,-1.7083287904877527,-1.221558141386578,807,0,1,1,1,1,1,1,1,1,False,False,True,True,False
0,3,1,3,1,0,1.1785175262065941,3,-0.5320255918900034,2,-0.01236010057860512,-1.1453961300307633,1.6934968307790292,1.5268824012703344,1991,0,1,0,0,1,1,0,1,0,False,True,False,True,False
3,2,0,3,1,0,-1.4796427870236994,1,-0.4619787968533759,2,-0.5148032135300246,0.26186272837149144,0.809022169249666,0.2900841570747239,1817,0,0,0,1,0,0,0,0,1,True,False,True,True,False
3,1,1,1,0,0,-0.6074339342450094,1,-0.7078647113891664,0,-1.0172463264814442,-0.30104081498941043,-0.6877811041077181,-0.25960395145665854,1490,1,0,0,0,1,1,0,1,0,True,False,False,False,False
0,0,0,3,1,0,1.164672941241853,3,-0.3623245936053903,0,-1.0172463264814442,0.121136842531266,1.2852777562270155,-1.0841361142537322,1561,1,1,0,0,1,1,1,1,0,False,False,False,False,True
3,3,2,1,1,0,0.20939657867471628,3,-0.18215268266066276,1,-0.01236010057860512,1.5283957009335207,0.6049126319736591,-0.25960395145665854,2202,1,1,0,0,1,1,1,0,0,False,False,True,False,True
0,2,1,0,0,0,1.2200512811008175,3,-0.7017265901746166,2,0.4900830123728144,1.6691215867737461,-1.1640366910850675,0.42750618420756953,2024,0,0,0,0,1,1,1,0,0,False,False,True,True,False
1,1,1,2,0,0,-0.23363014019699932,3,-0.7071425794815723,1,-0.01236010057860512,-1.5675737875514397,1.1492047313763443,1.389460374137489,1659,1,1,1,0,1,1,1,1,1,False,False,False,False,False
1,1,1,1,2,2,1.4692538104661577,4,2.2705683414826927,0,0.4900830123728144,-0.44176670082963587,-1.7083287904877527,-1.0841361142537322,3911,0,1,1,0,1,1,0,1,1,False,True,False,True,False
1,2,3,0,0,0,-0.7320351989276794,0,-0.7075036454353694,1,0.9925261253242339,-0.16031492914918494,-1.43618274078641,-0.25960395145665854,1204,1,1,0,0,1,1,1,0,1,True,False,True,False,True
0,3,0,0,0,0,0.0017278042035995989,4,-0.7302508005245835,2,-1.0172463264814442,-1.5675737875514397,1.0131317065256729,0.42750618420756953,2431,1,0,1,1,0,0,1,0,1,False,True,False,False,True
3,2,1,3,0,0,-0.012116780761141513,3,-0.7118364368809339,1,-1.0172463264814442,0.5433145000519424,-0.7558176165330537,1.1146163198717975,1640,1,0,0,1,0,0,0,0,0,True,False,True,True,False
0,3,3,2,0,0,0.3478424283221274,3,-0.7288065367093952,1,0.4900830123728144,0.6840403858921679,-1.3001097159357389,0.42750618420756953,1648,1,1,1,0,1,1,1,1,1,True,False,True,False,False
0,0,0,1,0,0,-1.1058389929756893,1,-0.7219462835872513,0,0.9925261253242339,0.40258861421171693,-1.3681462283610746,0.7023502384732607,1002,1,1,0,0,1,1,1,0,0,True,False,False,True,False
0,1,0,0,0,0,-1.5211765419179228,3,-0.7158081623727015,0,-1.5196894394328635,0.9654921575726189,1.4893872935030223,0.5649282113404152,1771,1,0,0,1,1,1,1,1,1,False,False,False,False,True
2,0,3,3,1,0,-1.0227714831872428,4,-0.2457002905289434,3,-1.5196894394328635,1.1062180434128444,-0.07545249227969734,-0.9467140871208866,2028,1,0,1,1,1,1,1,0,1,False,False,False,False,True
1,2,2,0,1,0,0.915470411876513,4,-0.11030055785504995,1,-1.0172463264814442,0.40258861421171693,-0.41563505440637555,-0.9467140871208866,2540,1,1,0,0,0,0,0,1,1,False,True,False,False,False
0,0,1,3,1,0,0.9846933367002186,0,-0.3648520552819697,1,1.4949692382756534,0.26186272837149144,1.557423805928358,-0.25960395145665854,1386,1,1,1,0,1,1,0,1,1,False,False,True,False,False
1,1,1,0,0,0,1.3308079608187464,1,-0.7111143049733398,0,0.4900830123728144,1.3876698150932953,-0.27956202955570425,-0.12218192432381292,1679,0,0,0,1,1,1,1,1,1,False,False,True,True,False
2,0,1,1,2,4,1.6630779999725331,4,2.692293375517646,0,0.4900830123728144,0.5433145000519424,-0.3475985419810399,0.8397722656061064,3141,1,0,0,0,0,0,0,0,0,True,True,False,False,True
1,2,2,1,1,0,-1.2027510877288772,4,-0.35907500002121684,2,-0.01236010057860512,-1.708299673391665,-0.9599271538090607,1.66430442840318,2627,0,0,1,1,1,1,1,1,1,True,False,False,False,False
0,1,0,1,2,4,0.48628827796953855,0,2.7164847944220485,2,-1.0172463264814442,0.121136842531266,1.2172412438016798,-1.221558141386578,1188,1,1,1,0,1,1,1,1,0,True,False,False,False,True
0,1,3,3,2,3,-0.690501444033456,0,2.5272862346323945,3,0.4900830123728144,-1.5675737875514397,-0.9599271538090607,-0.9467140871208866,3174,1,0,0,1,1,1,0,0,1,True,False,False,False,True
2,2,2,2,1,0,1.4138754706071932,3,-0.205983035611268,2,1.4949692382756534,0.9654921575726189,-1.3681462283610746,0.0152401028090327,2327,0,1,0,0,1,1,1,1,1,False,False,True,True,False
2,3,1,1,0,0,-1.1612173328346538,4,-0.719418821910672,1,-0.5148032135300246,1.3876698150932953,-1.2320732035104032,-0.3970259785895041,1822,0,1,1,1,0,0,1,1,1,False,False,False,False,True
3,3,0,2,2,3,-0.5243664244565627,0,1.0837445513517918,1,0.9925261253242339,-1.708299673391665,1.2172412438016798,1.66430442840318,2665,0,1,1,1,0,0,0,1,1,False,False,True,False,False
0,3,1,3,1,0,0.9985379216649597,3,-0.34896515331489947,3,-0.01236010057860512,1.3876698150932953,1.2172412438016798,-0.6718700328551954,2129,0,1,0,1,1,1,1,1,1,True,False,True,False,True
1,1,0,1,1,0,-1.1058389929756893,1,-0.39879225493889225,1,0.4900830123728144,0.8247662717323934,-1.0279636662343963,1.2520383470046432,1425,1,0,1,0,0,0,0,1,0,True,True,False,False,True
2,2,2,3,2,5,1.0954500164181475,3,0.08864678268712416,2,-1.5196894394328635,-1.708299673391665,-0.9599271538090607,1.1146163198717975,1690,1,1,1,0,0,0,0,0,1,True,False,False,True,False
3,0,2,2,0,0,0.36168701328686853,1,-0.6984769965904432,1,1.4949692382756534,0.121136842531266,-0.4836715668317112,-1.6338242227851147,1717,0,1,0,0,0,0,1,0,1,False,False,False,True,False
1,3,0,0,2,2,1.4830983954308987,3,1.892171221903385,2,-1.0172463264814442,-1.1453961300307633,0.8770586816750016,-0.9467140871208866,4060,1,0,1,0,1,1,1,0,0,True,False,True,False,False
3,2,0,3,2,1,-1.2719740125525827,1,1.165706522863722,3,-0.5148032135300246,0.26186272837149144,-0.4836715668317112,0.7023502384732607,3262,1,0,0,1,1,1,0,1,1,False,False,True,False,False
2,1,2,0,1,0,-1.3965752772352529,1,-0.10163497496392078,3,-1.5196894394328635,-0.44176670082963587,0.3327665822723165,0.0152401028090327,1674,1,0,1,0,1,1,1,1,1,False,True,False,False,True
3,2,1,2,2,5,0.9985379216649597,3,0.34897533537479664,0,-0.01236010057860512,-1.708299673391665,0.7409856568243304,-1.221558141386578,3135,0,1,0,0,0,0,1,1,1,True,True,False,True,False
0,1,0,2,2,2,-1.0504606531167249,1,2.5691698852728524,3,0.4900830123728144,-1.5675737875514397,1.6254603183536935,1.1146163198717975,4465,1,0,0,1,1,1,1,0,1,True,False,True,False,True
2,1,3,3,1,0,1.136983771312371,1,-0.030504982065902086,3,-0.5148032135300246,1.5283957009335207,0.5368761195483234,-0.5344480057223497,1984,0,0,0,0,0,0,0,0,1,True,False,False,True,False
2,2,0,3,2,2,1.5661659052193453,4,1.0303067901898286,2,-1.5196894394328635,1.2469439292530697,-0.27956202955570425,-1.221558141386578,3246,0,1,0,1,1,1,1,0,1,False,True,False,False,True
3,0,1,3,0,0,-1.535021126882664,3,-0.7262790750328159,2,-0.01236010057860512,-1.5675737875514397,-1.3001097159357389,0.2900841570747239,1351,1,1,1,1,1,1,1,1,1,False,False,False,False,False
